"Service","EC2-Instances($)","DynamoDB($)","Tax($)","EC2-Other($)","Elastic Container Service($)","VPC($)","Relational Database Service($)","Elastic MapReduce($)","Lambda($)","Secrets Manager($)","S3($)","CloudWatch($)","EC2 Container Registry (ECR)($)","Textract($)","Glue($)","Elastic Load Balancing($)","SES($)","Athena($)","Step Functions($)","CloudFront($)","CloudShell($)","API Gateway($)","SNS($)","Key Management Service($)","SQS($)","Service Catalog($)","Cognito($)","DataZone($)","Rekognition($)","CloudWatch Events($)","AppSync($)","Amplify($)","Total costs($)"
"2024-03-06","0","6.1414792544","","1.0847207245","0.5952571705","0.9600001577","0.0019931326","","0.0000000146","0.064871128","0.00064","0","0.0324175248","","","0.0000012057","0","","","0","","0","","","0","","0","","","","0","","8.8813803128"
"2024-03-07","0","0.1551839205","","1.0845605053","0.5958758558","0.96","0.0019931462","","0","0.065506128","0.0081711546","0","0.0324175248","","","0.0000001366","","","","0","","0","0","","0","","0","","","","0","","2.9037083718"
"2024-03-08","0","0.2499414499","","1.0868218514","0.5979071222","0.9600000793","0.0019931326","","0.000000003","0.065611128","0.163282617","0","0.0325433179","","","0.0000078987","0","","","0","","0","0","","0","","","","","","0","","3.1581086"
"2024-03-09","0","0.0141943195","","1.0841791181","0.5953913798","0.96","0.0019931326","","0","0.064886128","0.017554649","0","0.0329692134","","","0.0000044752","","","","0","","0","","","0","","","","","","0","0","2.7711724156"
"2024-03-10","0","0.0149457526","","1.0839143789","0.595104","0.96","0.0019931326","","0","0.064516128","0.017513849","0","0.032979972","","","0.0000011161","","","","0.0000000145","","0","","","0","","","","","","0","","2.7709683437"
"2024-03-11","0","0.0228335261","","1.088995115","0.5968274403","1.180312485","0.8643801914","","0.0000000042","0.066761128","0.0603028788","0","0.0331189273","","","0.0000033287","0","","","0","","0","","0","0","","0","","","","0","","3.9135350248"
"2024-03-12","0","9.7739528457","","1.0870653501","0.597137934","1.321845835","1.4485737742","","0","0.066466128","0.0196640938","0","0.0335491907","","","0.0000090832","0","","","0","","0","","","0","","0","","","","0","","14.3482642347"
"2024-03-13","0","0.6314794813","","1.0853191845","0.595104","1.32","1.4485737742","","0","0.065536128","0.0192315781","0","0.0337299528","","","0.0000194436","","","","0","","0","","","0","","0","","","","0","","5.1989935425"
"2024-03-14","0","0.6400950164","","1.0883340802","0.5992369012","1.3321417438","1.4485737742","","0.0000000031","0.067991128","0.0567185773","0","0.0337321968","","","0.0000026887","0","","","0","","0","","","0","","0","","","","0","","5.2668261097"
"2024-03-15","0","1.0296804365","","1.084848222","0.5951040216","1.3217000798","1.4485737742","","0.0000000194","0.065411128","0.0190728029","0","0.0339174624","","","0.000013358","0.0000434388","","","0","","0","","0","0","","0","","","","0","0","5.5983647436"
